0,Acanthemblemaria  betinensis
1,Acanthemblemaria  castroi
2,Acanthemblemaria  chaplini
3,Acanthemblemaria  crockeri
4,Acanthemblemaria  exilispinus
5,Acanthemblemaria  greenfieldi
6,Acanthemblemaria  hancocki
7,Acanthemblemaria  harpeza
8,Acanthemblemaria  hastingsi
9,Acanthemblemaria  johnsoni
10,Acanthemblemaria  macrospilus
11,Acanthemblemaria  mangognatha
12,Acanthemblemaria  maria
13,Acanthemblemaria  medusa
14,Acanthemblemaria  paula
15,Acanthemblemaria  rivasi
16,Acanthemblemaria  spinosa
17,Acanthemblemaria  stephensi
18,Acanthicus  adonis
19,Acanthicus  hystrix
0,Acanthogobius  luridus
1,Acantholabrus  palloni
2,Acantholiparis  caecus
3,Acantholiparis  opercularis
4,Acantholumpenus  mackayi
5,Acanthonus  armatus
6,Acanthopagrus  akazakii
7,Acanthopagrus  arabicus
8,Acanthopagrus  australis
9,Acanthopagrus  berda
10,Acanthopagrus  bifasciatus
11,Acanthopagrus  butcheri
12,Acanthopagrus  catenula
13,Acanthopagrus  chinshira
14,Acanthopagrus  latus
15,Acanthopagrus  longispinnis
16,Acanthopagrus  morrisoni
17,Acanthopagrus  omanensis
18,Acanthopagrus  pacificus
19,Acanthopagrus  palmaris
0,Accipiter    gentilis    gentilis
1,Accipiter    gentilis    laingi
2,Accipiter    gentilis    marginatus
3,Accipiter    gentilis    schvedowi
4,Accipiter  griseiceps
5,Accipiter  gularis
6,Accipiter    gularis    gularis
7,Accipiter    gularis    iwasakii
8,Accipiter    gularis    sibiricus
9,Accipiter  gundlachi
10,Accipiter    gundlachi    gundlachi
11,Accipiter    gundlachi    wileyi
12,Accipiter  haplochrous
13,Accipiter  henicogrammus
14,Accipiter  henstii
15,Accipiter  hiogaster
16,Accipiter    hiogaster    albiventris
17,Accipiter    hiogaster    bougainvillei
18,Accipiter    hiogaster    dampieri
19,Accipiter    hiogaster    griseogularis
0,Achalinus  ater
1,Achalinus  formosanus
2,Achalinus    formosanus    chigirai
3,Achalinus    formosanus    formosanus
4,Achalinus  hainanus
5,Achalinus  jinggangensis
6,Achalinus  meiguensis
7,Achalinus  niger
8,Achalinus  rufescens
9,Achalinus  spinalis
10,Achalinus  werneri
11,Acheilognathus  asmussii
12,Acheilognathus  barbatulus
13,Acheilognathus  barbatus
14,Acheilognathus  binidentatus
15,Acheilognathus  brevicaudatus
16,Acheilognathus  changtingensis
17,Acheilognathus  coreanus
18,Acheilognathus  cyanostigma
19,Acheilognathus  deignani
0,Acrobrycon  ipanquianus
1,Acrobrycon  ortii
2,Acrobrycon  starnesi
3,Acrocanthosaurus  atokensis
4,Acrocephalus  aequinoctialis
5,Acrocephalus    aequinoctialis    aequinoctialis
6,Acrocephalus    aequinoctialis    pistor
7,Acrocephalus  agricola
8,Acrocephalus    agricola    agricola
9,Acrocephalus    agricola    septimus
10,Acrocephalus  arundinaceus
11,Acrocephalus    arundinaceus    arundinaceus
12,Acrocephalus    arundinaceus    zarudnyi
13,Acrocephalus  astrolabii
14,Acrocephalus  atyphus
15,Acrocephalus    atyphus    atyphus
16,Acrocephalus    atyphus    eremus
17,Acrocephalus    atyphus    flavidus
18,Acrocephalus    atyphus    niauensis
19,Acrocephalus    atyphus    palmarum
0,Actinodura  egertoni
1,Actinodura    egertoni    egertoni
2,Actinodura    egertoni    khasiana
3,Actinodura    egertoni    lewisi
4,Actinodura    egertoni    ripponi
5,Actinodura  morrisoniana
6,Actinodura  nipalensis
7,Actinodura  ramsayi
8,Actinodura    ramsayi    radcliffei
9,Actinodura    ramsayi    ramsayi
10,Actinodura    ramsayi    yunnanensis
11,Actinodura  sodangorum
12,Actinodura  souliei
13,Actinodura    souliei    griseinucha
14,Actinodura    souliei    souliei
15,Actinodura  waldeni
16,Actinodura    waldeni    daflaensis
17,Actinodura    waldeni    poliotis
18,Actinodura    waldeni    saturatior
19,Actinodura    waldeni    waldeni
0,Aegolius  acadicus
1,Aegolius    acadicus    acadicus
2,Aegolius    acadicus    brooksi
3,Aegolius  funereus
4,Aegolius    funereus    beickianus
5,Aegolius    funereus    caucasicus
6,Aegolius    funereus    funereus
7,Aegolius    funereus    magnus
8,Aegolius    funereus    pallens
9,Aegolius    funereus    richardsoni
10,Aegolius    funereus    sibiricus
11,Aegolius  gradyi
12,Aegolius  harrisii
13,Aegolius    harrisii    dabbenei
14,Aegolius    harrisii    harrisii
15,Aegolius    harrisii    iheringi
16,Aegolius  martae
17,Aegolius  ridgwayi
18,Aegolius    ridgwayi    ridgwayi
19,Aegolius    ridgwayi    rostratus
0,Aethia  pusilla
1,Aethia  pygmaea
2,Aethia  storeri
3,Aethomys  bocagei
4,Aethomys  chrysophilus
5,Aethomys  hindei
6,Aethomys  ineptus
7,Aethomys  kaiseri
8,Aethomys  nyikae
9,Aethomys  silindensis
10,Aethomys  stannarius
11,Aethomys  thomasi
12,Aethopyga  bella
13,Aethopyga    bella    arolasi
14,Aethopyga    bella    bella
15,Aethopyga    bella    bonita
16,Aethopyga    bella    flavipectus
17,Aethopyga    bella    minuta
18,Aethopyga    bella    rubrinota
19,Aethopyga  boltoni
0,Afrovenator  abakensis
1,Afurcagobius  suppositus
2,Afurcagobius  tamarensis
3,Agalychnis  annae
4,Agalychnis  callidryas
5,Agalychnis  moreletii
6,Agalychnis  saltator
7,Agalychnis  spurrelli
8,Agama  aculeata
9,Agama    aculeata    aculeata
10,Agama    aculeata    distanti
11,Agama  africana
12,Agama  agama
13,Agama  anchietae
14,Agama  armata
15,Agama  atra
16,Agama  bocourti
17,Agama  boensis
18,Agama  bottegi
19,Agama  boueti
0,Agnezia  biscoei
1,Agnezia  capensis
2,Agnezia  celtica
3,Agnezia  glaciata
4,Agnezia  himeboja
5,Agnezia  monnioti
6,Agnezia  orthenteron
7,Agnezia  sabulosa
8,Agnezia  septentrionalis
9,Agnezia  tenue
10,Agnosphitys  cromhallensis
11,Agomphus  alabamensis
12,Agomphus  oxysternum
13,Agomphus  pectoralis
14,Agoniates  anchovia
15,Agoniates  halecinus
16,Agonomalus  jordani
17,Agonomalus  mozinoi
18,Agonomalus  proboscidalis
19,Agonopsis  asperoculis
0,Akodon (Hypsimys) budini
1,Akodon (Hypsimys) siberiae
2,Akodon (Microxus) mimus
3,Akrokolioplax  bicornis
4,Akysis  bilustris
5,Akysis  brachybarbatus
6,Akysis  clavulus
7,Akysis  clinatus
8,Akysis  ephippifer
9,Akysis  fontaneus
10,Akysis  fuliginatus
11,Akysis  galeatus
12,Akysis  hendricksoni
13,Akysis  heterurus
14,Akysis  longifilis
15,Akysis  maculipinnis
16,Akysis  manipurensis
17,Akysis  microps
18,Akysis  pictus
19,Akysis  portellus
0,Alca  olsoni
1,Alca  stewarti
2,Alca  torda
3,Alca    torda    islandica
4,Alca    torda    torda
5,Alcedo  argentata
6,Alcedo    argentata    argentata
7,Alcedo    argentata    flumenicola
8,Alcedo  atthis
9,Alcedo    atthis    atthis
10,Alcedo    atthis    bengalensis
11,Alcedo    atthis    floresiana
12,Alcedo    atthis    hispidoides
13,Alcedo    atthis    ispida
14,Alcedo    atthis    salomonensis
15,Alcedo    atthis    taprobana
16,Alcedo  azurea
17,Alcedo    azurea    affinis
18,Alcedo    azurea    azurea
19,Alcedo    azurea    diemenensis
0,Alectrias  alectrolophus
1,Alectrias  benjamini
2,Alectrias  cirratus
3,Alectrias  gallinus
4,Alectrias  markevichi
5,Alectrias  mutsuensis
6,Alectridium  aurantiacum
7,Alectroenas  madagascariensis
8,Alectroenas  nitidissima
9,Alectroenas  pulcherrima
10,Alectroenas  sganzini
11,Alectroenas    sganzini    minor
12,Alectroenas    sganzini    sganzini
13,Alectrosaurus  olseni
14,Alectrurus  risora
15,Alectrurus  tricolor
16,Alectura  lathami
17,Alectura    lathami    lathami
18,Alectura    lathami    purpureicollis
19,Alepes  apercna
0,Allobates  ranoides
1,Allobates  rufulus
2,Allobates  sanmartini
3,Allobates  spumaponens
4,Allobates  subfolionidificans
5,Allobates  sumtuosus
6,Allobates  talamancae
7,Allobates  trilineatus
8,Allobates  undulatus
9,Allobates  vanzolinius
10,Allobates  wayuu
11,Allobates  zaparo
12,Alloblennius  anuchalis
13,Alloblennius  frondiculus
14,Alloblennius  jugularis
15,Alloblennius  parvus
16,Alloblennius  pictus
17,Allocareproctus  jordani
18,Allocareproctus  kallaion
19,Allocareproctus  tanix
0,Alsophis  sibonius
1,Alsophylax  laevis
2,Alsophylax  loricatus
3,Alsophylax  pipiens
4,Alsophylax  przewalskii
5,Alsophylax  szczerbaki
6,Alsophylax  tadjikiensis
7,Althoffia  tumida
8,Alticola (Alticola) albicaudus
9,Alticola (Alticola) argentatus
10,Alticola (Alticola) barakshin
11,Alticola (Alticola) montosa
12,Alticola (Alticola) roylei
13,Alticola (Alticola) semicanus
14,Alticola (Alticola) stoliczkanus
15,Alticola (Alticola) tuvinicus
16,Alticola (Aschizomys) lemminus
17,Alticola (Aschizomys) macrotis
18,Alticola (Aschizomys) olchonensis
19,Alticola (Platycranius) strelzowi
0,Amazilia  rosenbergi
1,Amazilia  rutila
2,Amazilia    rutila    corallirostris
3,Amazilia    rutila    diluta
4,Amazilia    rutila    graysoni
5,Amazilia    rutila    rutila
6,Amazilia  saucerrottei
7,Amazilia    saucerrottei    braccata
8,Amazilia    saucerrottei    hoffmanni
9,Amazilia    saucerrottei    saucerrottei
10,Amazilia    saucerrottei    warscewiczi
11,Amazilia  tobaci
12,Amazilia    tobaci    aliciae
13,Amazilia    tobaci    caudata
14,Amazilia    tobaci    caurensis
15,Amazilia    tobaci    erythronotos
16,Amazilia    tobaci    feliciae
17,Amazilia    tobaci    monticola
18,Amazilia    tobaci    tobaci
19,Amazilia  tzacatl
0,Amblyeleotris  melanocephala
1,Amblyeleotris  morishitai
2,Amblyeleotris  neglecta
3,Amblyeleotris  neumanni
4,Amblyeleotris  novaecaledoniae
5,Amblyeleotris  ogasawarensis
6,Amblyeleotris  periophthalma
7,Amblyeleotris  randalli
8,Amblyeleotris  rhyax
9,Amblyeleotris  rubrimarginata
10,Amblyeleotris  steinitzi
11,Amblyeleotris  stenotaeniata
12,Amblyeleotris  sungami
13,Amblyeleotris  taipinensis
14,Amblyeleotris  triguttata
15,Amblyeleotris  wheeleri
16,Amblyeleotris  yanoi
17,Amblygaster  clupeoides
18,Amblygaster  indiana
19,Amblygaster  leiogaster
0,Ameerega  rubriventris
1,Ameerega  silverstonei
2,Ameerega  simulans
3,Ameerega  smaragdina
4,Ameerega  trivittata
5,Ameerega  yungicola
6,Ameiurus  brunneus
7,Ameiurus  catus
8,Ameiurus  melas
9,Ameiurus  natalis
10,Ameiurus  nebulosus
11,Ameiurus  platycephalus
12,Ameiurus  serracanthus
13,Ameiva  aggerecusans
14,Ameiva  ameiva
15,Ameiva    ameiva    ameiva
16,Ameiva    ameiva    tobagana
17,Ameiva  atrigularis
18,Ameiva  bifrontata
19,Ameiva    bifrontata    bifrontata
0,Ammomanes    deserti    cheesmani
1,Ammomanes    deserti    coxi
2,Ammomanes    deserti    darica
3,Ammomanes    deserti    deserti
4,Ammomanes    deserti    erythrochroa
5,Ammomanes    deserti    geyri
6,Ammomanes    deserti    insularis
7,Ammomanes    deserti    iranica
8,Ammomanes    deserti    isabellina
9,Ammomanes    deserti    kollmannspergeri
10,Ammomanes    deserti    mya
11,Ammomanes    deserti    orientalis
12,Ammomanes    deserti    parvirostris
13,Ammomanes    deserti    payni
14,Ammomanes    deserti    phoenicuroides
15,Ammomanes    deserti    samharensis
16,Ammomanes    deserti    saturata
17,Ammomanes    deserti    taimuri
18,Ammomanes    deserti    whitakeri
19,Ammomanes  phoenicura
0,Amphilophus  lyonsi
1,Amphilophus  margaritifer
2,Amphilophus  sagittae
3,Amphilophus  supercilius
4,Amphilophus  tolteca
5,Amphilophus  viridis
6,Amphilophus  xiloaensis
7,Amphilophus  zaliosus
8,Amphinectomys  savamis
